month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
December,12-01,1,Nicholas Ferrar,Deacon and founder of Little Gidding,1637,Anglican,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate,"Prayer Book/LFF Anglican diaconal and household-religious witness; strong fit for prayer, ordered common life, and lay/clerical devotion.",none,Pending,,
December,12-01,2,Charles de Foucauld,Hermit and priest,1916,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Strong alternate,Modern desert/hidden-life witness with strong contemplative and missionary-respect resonance.,modern review; Greater Church remembers,Pending,,
December,12-01,3,Eligius of Noyon,Bishop and craftsman,660,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Usable,Bishop and craftsperson-saint with care for poor and captives; lower Anglican priority than Ferrar.,Greater Church remembers; source verification,Pending,,
December,12-01,4,Edmund Campion and Companions,Martyrs,1581,Roman Catholic / Anglican-context contested,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Review,English Roman Catholic martyrial witness requires careful Reformation-context handling in an Anglican Synaxarium.,Reformation conflict; Greater Church remembers,Pending,,
December,12-02,1,Channing Moore Williams,Bishop and Missionary,1910,Anglican,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate,BCP/LFF Anglican bishop and missionary to China and Japan; Anglican-bishop rule applies.,Anglican bishop rule; mission/colonial context review,Pending,,
December,12-02,2,Bibiana / Viviana,Martyr,4th century,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Usable,Ancient martyrial witness but lower source priority than Williams.,legendary material review; Greater Church remembers,Pending,,
December,12-02,3,Silverius,Bishop of Rome,537,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Weak / defer,Papal suffering/exile witness but thin for this project compared with Williams.,Greater Church remembers; source verification,Pending,,
December,12-03,1,Francis Xavier,Missionary,1552,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate with review,Broad Anglican reception and immense missionary zeal; hagiographic honesty requires colonial and interreligious context discipline.,mission/colonial context; Greater Church remembers,Pending,,
December,12-03,2,Birinus of Dorchester,Bishop and Missionary,c. 650,Anglican / English,FAS; AM,Provincial Anglican / Anglican martyrology,Strong alternate,Early English missionary bishop and apostle of the West Saxons; good Anglican-family alternate.,source/date verification,Pending,,
December,12-03,3,Sophonius / Zephaniah,Prophet,,Biblical / Old Testament,AM,Anglican martyrology / biblical commemoration,Review,Biblical prophet but requires whole-year Old Testament strategy and cannot displace Francis Xavier without governance.,Old Testament strategy; date/source verification,Pending,,
December,12-04,1,John of Damascus,Priest and Theologian,c. 760,Anglican-received Eastern Orthodox,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican reception; major iconodule theologian and hymnographer with strong Great Church resonance.,none,Pending,,
December,12-04,2,Osmund of Salisbury,Bishop,1099,Anglican / English,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Strong alternate,Sarum/Salisbury episcopal and liturgical witness; also appears in July matrix and needs harmonization.,date harmonization with July 16; source verification,Pending,,
December,12-04,3,Barbara of Nicomedia,Martyr,legendary,Greater Church / Anglican-received,AM; LFF group on November 24; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Review,Powerful martyr tradition but legend-heavy; LFF groups Barbara with Catherine and Margaret on November 24.,date harmonization with November 24; legendary material review; Greater Church remembers,Pending,,
December,12-05,1,Clement of Alexandria,Priest and Theologian,c. 210,Anglican-received Great Church,BCP; HWHM; GCW; AM,BCP / TEC secondary / Anglican martyrology,Strong candidate,Alexandrian teacher whose theology and catechesis support Christian formation toward theosis; strong patristic candidate.,date/source verification against current LFF,Pending,,Confirm whether current LFF 2024 retains this date or BCP/older TEC controls.
December,12-05,2,Sabas / Sabbas the Sanctified,Monastic,532,Eastern Orthodox / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Strong alternate,Major Palestinian monastic founder and liturgical witness; strong Great Church alternate.,Greater Church remembers; source verification,Pending,,
December,12-05,3,Christina Rossetti,Poet,1894,Anglican,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Review,Anglican devotional poet with real holiness/prayer resonance; poet status requires doxological rather than literary framing.,artist/writer holiness test; source/date verification,Pending,,
December,12-06,1,Nicholas of Myra,Bishop,c. 342,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican and Great Church reception; episcopal mercy and protection of the vulnerable give strong hagiographical substance.,legendary material handled honestly,Pending,,
December,12-06,2,Emilian of Cogolla,Hermit,574,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Usable,Eremitic and pastoral holiness candidate but outranked by Nicholas.,Greater Church remembers; source verification,Pending,,
December,12-06,3,Major Roger Williams,Founder / religious liberty witness,1683,Baptist / Anglican-received,HWHM; GCW,TEC secondary,Review,Religious-liberty witness is significant but non-Anglican Protestant and political-theological framing require caution.,Protestant/non-Anglican review; social-impact caution,Pending,,
December,12-07,1,Ambrose of Milan,Bishop and Theologian,397,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major patristic bishop theologian hymnographer and pastor; broad Anglican and Great Church reception.,none,Pending,,
December,12-07,2,Maria Joseph Rossello,Religious founder,1880,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Works-of-mercy and religious-founder witness but lower priority than Ambrose.,modern review; Greater Church remembers,Pending,,
December,12-07,3,Charles Garnier,Jesuit missionary and martyr,1649,Roman Catholic / Greater Church,AM date variant,Anglican martyrology / Great Church,Review,North American missionary martyr; colonial/Indigenous context and date harmonization with October 19 group required.,mission/colonial context; date harmonization with Oct 19,Pending,,
