"month","date","rank","candidate","designation","year_or_period","tradition","source_witnesses","source_tier","preliminary_status","ranking_rationale","review_flags","decision_status","final_primary","notes"
"June","06-01","1","Justin Martyr","Martyr","167","Anglican-received Great Church","BCP; LFF; HWHM; GCW; FAS; AM; SEC Visitation transfer context","BCP / Current TEC / Broad Anglican","Strong candidate with review","Current LFF/Prayer Book martyr and apologist; ancient philosophical witness ordered to Christ the Logos.","SEC transfer context for Visitation only; Greater Church remembers","Pending","",""
"June","06-01","2","The Visitation of the Blessed Virgin Mary transfer","Marian feast","","Anglican / SEC transfer","SEC 2026 transfer from May 31","TEC secondary / Anglican martyrology","Review / date harmonization","SEC transferred Visitation belongs in harmonization ledger only; it is not a Justin source witness.","SEC transfer artifact","Pending","",""
"June","06-01","3","Pamphilus of Caesarea","Priest and martyr","309","Greater Church / Eastern","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Scholar-priest and martyr; strong Great Church alternate.","Greater Church remembers","Pending","",""
"June","06-02","1","Blandina and Her Companions, the Martyrs of Lyons","Martyrs","177","Anglican-received Great Church","BCP; LFF; HWHM; GCW; FAS; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Broad Anglican reception; ancient martyrial witness of endurance, charity, and communion under persecution.","group entry; Greater Church remembers","Pending","",""
"June","06-02","2","Erasmus / Elmo","Bishop and martyr","303","Greater Church / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Ancient martyrial tradition, with legendary material.","legendary material review; Greater Church remembers","Pending","",""
"June","06-02","3","Pothinus of Lyons","Bishop and martyr","177","Greater Church / Lyons","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Review / source-form harmonization","Individual bishop in the Lyons martyr source cluster; keep distinct from group form.","source-form harmonization","Pending","",""
"June","06-03","1","The Martyrs of Uganda","Martyrs","1886","Anglican / Roman Catholic / African","BCP; LFF; HWHM; GCW; SEC; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Current LFF/Prayer Book martyrial witness with deep Anglican and African church reception.","group entry; source-form harmonization with Janani Luwum Feb 17 and SEC Uganda source-form","Pending","",""
"June","06-03","2","Charles Lwanga and Companions","Martyrs","1886","Roman Catholic / Uganda","AM; Oxford Dictionary of Saints; SEC source form","Anglican martyrology / Great Church","Review / source-form harmonization","Roman Catholic source form overlaps the broader Uganda martyrs; keep group forms distinct.","group source-form","Pending","",""
"June","06-03","3","Kevin of Glendalough","Abbot","618","Anglican / Irish","AM; Oxford Dictionary of Saints","TEC secondary / Anglican martyrology","Strong alternate","Irish monastic founder and hermit; strong Celtic alternate.","source verification","Pending","",""
"June","06-04","1","John XXIII","Bishop of Rome","1963","Roman Catholic / Anglican-received","LFF; AM; SEC June 8 date variant/source context","Current TEC/LFF / Anglican martyrology / Great Church","Strong candidate with review","Current LFF source form; episcopal, pastoral, ecumenical, and conciliar-renewal witness, but papal and modern-reformer framing require discipline.","Greater Church remembers; papal context; modern reformer framing; SEC date/source verification","Pending","",""
"June","06-04","2","Petroc of Cornwall source/date variant","Abbot","564","Anglican / Cornish","AM/Oxford source context; May matrix","TEC secondary / Anglican martyrology","Review / date harmonization","Date/source variant; May 23 candidate controls if retained.","date harmonization","Pending","",""
"June","06-04","3","Clotilde","Queen","545","Greater Church / Frankish","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Review","Ruler-family conversion witness; royal and political context require care.","ruler-saint review","Pending","",""
