month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
November,11-01,1,All Saints,Principal Feast / communion of saints,,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Principal feast and theological anchor for the whole sanctoral project; uncontested primary candidate.,none,Pending,,
November,11-01,2,Benignus of Dijon,Martyr,2nd-3rd century,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Ancient martyrial witness but cannot displace All Saints.,defer under Principal Feast; Greater Church remembers,Pending,,
November,11-01,3,Nonius of Portugal,Lay brother / penitent ruler,1431,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Weak / defer,Lay penitential witness after military and political life; cannot displace All Saints.,ruler-saint review; defer under Principal Feast; Greater Church remembers,Pending,,
November,11-02,1,All Souls / All the Faithful Departed,Commemoration of the Dead,,Anglican-received Western Church,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Prayer for the faithful departed is a major ecclesial observance immediately following All Saints; source authority is overwhelming.,genre review: commemoration of the dead rather than individual saint,Pending,,
November,11-02,2,Odilo of Cluny,Abbot / promoter of All Souls observance,1049,Greater Church / Western monastic,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Usable,Directly connected to the spread of All Souls from Cluny and useful if a personal hagiographical anchor is desired.,Greater Church remembers; source verification,Pending,,
November,11-02,3,Margaret of Lorraine,Widow / monastic / worker of mercy,1521,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Widowed ruler who entered religious life and cared for poor and sick; a solid personal alternate below All Souls.,ruler-family review; Greater Church remembers,Pending,,
November,11-03,1,Richard Hooker,Priest and Theologian,1600,Anglican,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Central Anglican theological and priestly witness; high source authority and strong ecclesial formation value.,none,Pending,,
November,11-03,2,Martin de Porres,Lay Dominican / worker of mercy,1639,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Powerful works-of-mercy and racial-reconciliation holiness witness; strong Great Church alternate.,Greater Church remembers; date/source hierarchy,Pending,,
November,11-03,3,Winefride / Gwenfrewi,Abbess / Welsh saint,c. 650,Anglican / Welsh,AM; Oxford Dictionary of Saints,Anglican martyrology / English-Welsh witness,Usable,"Welsh holy woman and monastic leader, but legend-heavy material requires care.",legendary material review; source verification,Pending,,
November,11-03,4,Malachy of Armagh,Bishop and reformer,1148,Irish / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Irish episcopal and monastic reform witness; lower Anglican source priority than Hooker.,Greater Church remembers; source verification,Pending,,
November,11-04,1,Adeline Blanchard Tyler and her Companions,Deaconess and companions,1875,Anglican,LFF bracketed,Current TEC/LFF bracketed,Review,"Current LFF bracketed entry; first Episcopal deaconess and women’s ordered service witness, but bracketed status requires caution.",bracketed LFF status; group entry; source verification,Pending,,
November,11-04,2,Saints of the Old Testament,Biblical group commemoration,,Biblical / Anglican-received,FAS,Provincial Anglican,Review,"Formal Canadian Anglican observance and theologically rich, but broad group entry requires whole-year biblical strategy.",Old Testament strategy; group entry,Pending,,
November,11-04,3,Charles Borromeo,Bishop of Milan and reformer,1584,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Major post-Tridentine episcopal and pastoral reform witness; good Great Church option on a thin Anglican day.,Greater Church remembers; Tridentine/Roman-context handling,Pending,,
November,11-04,4,John Zedazneli and Companions,Monastic missionaries,6th century,Georgian / Eastern Orthodox / Greater Church,AM,Anglican martyrology / Great Church,Usable,Missionaries important to Georgian Christianity and monasticism; useful Great Five supplement.,Greater Church remembers; Georgian source verification,Pending,,
November,11-05,1,Zechariah and Elizabeth,Parents of John the Baptist,1st century,Biblical / Great Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong candidate,Biblical righteous household preparing the way for Christ; strong personal holiness fit on an otherwise thin Anglican day.,biblical-date strategy; Greater Church remembers,Pending,,
November,11-05,2,Cybi,Abbot,6th century,Anglican / Welsh,AM; Oxford Dictionary of Saints,Anglican martyrology / Welsh witness,Strong alternate,Welsh monastic and missionary witness with strong regional Anglican-family value.,source verification,Pending,,
November,11-05,3,Bernard Lichtenberg,Priest and martyr,1943,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Modern anti-Nazi and prayer-for-Jews witness; strong martyrial/prophetic holiness case.,modern review; Holocaust context; Greater Church remembers,Pending,,
November,11-05,4,Gomidas Keumurgian,Priest and martyr,1707,Armenian Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Armenian priestly and martyrial witness; ecclesial-union context requires care.,Armenian source verification; Greater Church remembers,Pending,,
November,11-06,1,William Temple,Archbishop of Canterbury,1944,Anglican,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate with review,"Anglican archbishop, theologian, ecumenist, and social teacher; Anglican-bishop rule supports inclusion.",Anglican bishop rule; social-teaching significance vs holiness framing,Pending,,
November,11-06,2,Illtud,Abbot and teacher,c. 530,Anglican / Welsh-Breton,AM; Oxford Dictionary of Saints,Anglican martyrology / Welsh witness,Strong alternate,Major Welsh monastic educator and abbot; strong Anglican-family monastic candidate.,source verification,Pending,,
November,11-06,3,Leonard of Noblac,Hermit / patron of prisoners,6th century,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Hermit and prisoner-deliverance devotion; good Great Church alternate.,legendary material review; Greater Church remembers,Pending,,
November,11-07,1,Willibrord,Archbishop of Utrecht and Missionary to Frisia,739,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Northumbrian/Irish-trained missionary bishop with broad Anglican reception; uncontested source priority.,none,Pending,,
November,11-07,2,Richard Davies,Bishop of St Davids / translator,1581,Anglican / Welsh,AM,Anglican martyrology,Strong alternate,Welsh bishop and Prayer Book/New Testament translation witness; strong Anglican-family alternate.,source verification; Reformation-context handling,Pending,,
November,11-08,1,Ammonius,Hermit,c. 403,Egyptian / Greater Church / Anglican-received,LFF,Current TEC/LFF,Strong candidate,Current LFF source and strong Egyptian desert-holiness fit; valuable Great Five/monastic witness.,Greater Church remembers; source verification,Pending,,
November,11-08,2,Elizabeth of the Trinity,Carmelite monastic and spiritual writer,1916,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Deep Trinitarian contemplative witness; strong alternate on a monastic day.,modern review; Greater Church remembers,Pending,,
November,11-08,3,John Duns Scotus,Franciscan theologian,1308,Roman Catholic / Scottish / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Major Franciscan theologian of love and Incarnation; intellectual significance must be framed as prayer and holiness.,intellectual-significance caution; Greater Church remembers,Pending,,
November,11-08,4,All Saints and Martyrs of England / All Saints of Wales,National saints group commemoration,,Anglican / English-Welsh,AM,Anglican martyrology,Review,Formal national-holiness category but broad group form may belong in secondary apparatus rather than one primary slot.,group entry; national-calendar genre review,Pending,,
November,11-08,5,James Theodore Holly,Bishop of Haiti,1911,Anglican,HWHM; GCW alternative date,TEC secondary alternative date,Review / date harmonization,Alternative date only; Holly belongs primarily under March 13 in TEC sources.,date harmonization with March 13; Anglican bishop rule,Pending,,
November,11-09,1,"Richard Rolle, Walter Hilton, and Margery Kempe",Mystics,"1349, 1396, c. 1440",Anglican / English mystical tradition,LFF; HWHM/GCW on September 28; AM Margery Kempe,Current TEC/LFF / TEC secondary date variant,Strong candidate,Current LFF now places the English mystics here; strong contemplative/prayability fit.,group entry; date harmonization with September 28 and Richard Rolle September 29,Pending,,
November,11-09,2,Margery Kempe,Mystic,after 1438,Anglican / English,AM; LFF group on November 9,Anglican martyrology / Current TEC group,Strong alternate,Singular English lay mystical witness; may warrant individual treatment if group is split.,date harmonization; group split review,Pending,,
