month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
September,09-01,1,David Pendleton Oakerhater,Deacon and Missionary,1931,Anglican / Cheyenne Episcopal,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate with review,BCP/LFF authority and ordained Anglican missionary witness; must be framed as costly discipleship rather than assimilation narrative.,Indigenous mission/colonial-context review; modern review,Pending,,
September,09-01,2,Simeon Stylites the Elder,Ascetic / pillar saint,459,Greater Church / Syrian,AM,Anglican martyrology / Great Church,Strong alternate,Major ascetical holiness witness with deep Eastern monastic resonance; excellent Great Church option if Oakerhater is deferred.,ascetical/extreme-practice framing; Greater Church remembers,Pending,,
September,09-01,3,Giles,Abbot / hermit,c. 710,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Medieval Western hermit and helper-saint tradition; strong devotional reception but lower Anglican source authority than Oakerhater.,legendary material review; Greater Church remembers,Pending,,
September,09-01,4,Joshua and Gideon,Judges of Israel,,Biblical / Old Testament,AM,Anglican martyrology / biblical commemoration,Review,Biblical righteous figures but group/date use needs whole-year Old Testament strategy.,Old Testament group strategy; date/source verification,Pending,,
September,09-02,1,The Martyrs of New Guinea,Martyrs,1942,Anglican / Papua New Guinea,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican source authority and clear martyrial witness under wartime persecution.,colonial/mission-context honesty,Pending,,
September,09-02,2,Nikolai Grundtvig,Bishop and Hymnwriter,1872,Lutheran / Anglican-received,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Review,Important sacramental and hymnographic witness; lower than the New Guinea martyrs on an Anglican martyr day.,Protestant/non-Anglican review; hymnwriter holiness framing; date harmonization with September 8,Pending,,Crosswise QC added explicit harmonization with Sep 8 duplicate.
September,09-02,3,September Martyrs of Paris,Martyrs,1792,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong martyrial witness from the French Revolution; lower Anglican source authority than New Guinea.,Greater Church remembers; historical-violence framing,Pending,,
September,09-02,4,William of Roskilde,Bishop,c. 1070,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Possible episcopal holiness candidate but thin compared with martyr and hymnody candidates.,source verification; Greater Church remembers,Pending,,
September,09-03,1,Phoebe,Deacon,1st century,Biblical / Anglican-received,LFF; AM,Current TEC/LFF / Anglican martyrology,Strong candidate,Current LFF and apostolic-biblical diaconal witness; strong fit for ordered ministry and household-church service.,none,Pending,,
September,09-03,2,Gregory the Great,Bishop of Rome and Teacher of the Faith,604,Anglican-received Great Church,FAS; SEC; AM,Provincial Anglican / Anglican martyrology / Great Church,Strong alternate,"Major Western pastor, monastic pope, writer, and missionary influence on English Christianity; strong alternate despite not being current TEC on this date.",Greater Church remembers; date/source hierarchy,Pending,,
September,09-03,3,Prudence Crandall,Teacher and Prophetic Witness,1890,Anglican-received / public moral witness,HWHM; GCW,TEC secondary,Review,Teacher and anti-racist witness; requires holiness/prayability case beyond social courage.,social-impact caution; holiness test,Pending,,
September,09-03,4,Aigulf of Lérins,Abbot and Martyr,676,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Monastic martyrial option but lower source priority than Phoebe or Gregory.,source verification; Greater Church remembers,Pending,,
September,09-04,1,Paul Jones,Bishop and Witness for Peace,1941,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate with review,Anglican bishop on the calendar and witness for peace; automatic inclusion rule applies while the pacifist/public-witness framing still needs care.,Anglican bishop rule; peace-witness/social-context review,Pending,,
September,09-04,2,Moses,Prophet and Lawgiver,,Biblical / Old Testament,AM,Anglican martyrology / biblical commemoration,Strong alternate,Major biblical prophet and lawgiver; could be powerful if Old Testament commemorations are used as Great Church/biblical supplements.,Old Testament strategy; date/source verification,Pending,,
September,09-04,3,Birinus of Dorchester,Bishop and Missionary,c. 650,Anglican / English,AM,Anglican martyrology,Usable,Apostle of the West Saxons; strong English missionary-bishop alternate on a day with BCP/LFF control.,source verification,Pending,,
September,09-04,4,Albert Schweitzer,Medical missionary / theologian,1965,Lutheran / Anglican-received,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Review,Important theological and medical-service witness but vulnerable to significance/humanitarian framing without explicit sanctity case.,modern review; public-intellectual/humanitarian caution,Pending,,
