date,rank,sin,normalized_name,entity_type,source_candidate_name,identity_note
04-01,2,UO-SIN-000940,Hugh of Grenoble,person,Hugh of Grenoble,
04-01,3,UO-SIN-000699,Mary of Egypt,person,Mary of Egypt source/date variant,reused existing SIN; date/source-form harmonization
04-02,2,UO-SIN-000941,Francis of Paola,person,Francis of Paola,
04-02,3,UO-SIN-000699,Mary of Egypt,person,Mary of Egypt western date,reused existing SIN; date/source-form harmonization
04-03,2,UO-SIN-000942,Nicetas of Medikion,person,Nicetas of Medikion,
04-03,3,UO-SIN-000943,Sixtus I,person,Sixtus I,
04-04,2,UO-SIN-000944,Ambrose,person,Ambrose source/date variant,normalized from Ambrose source/date variant; date/source-form harmonization
04-04,3,UO-SIN-000945,Benedict the Black,person,Benedict the Black,
04-05,2,UO-SIN-000946,Pandita Ramabai,person,Pandita Ramabai,
04-05,3,UO-SIN-000947,Emily Ayckbowm,person,Emily Ayckbowm,
04-06,2,UO-SIN-000948,Prudentius of Troyes,person,Prudentius of Troyes,
04-06,3,UO-SIN-000949,Celestine I,person,Celestine I,
04-07,2,UO-SIN-000950,Henry Walpole,person,Henry Walpole,
04-07,3,UO-SIN-000951,John Baptist de La Salle,person,John Baptist de La Salle,
04-08,2,UO-SIN-000952,William Augustus Muhlenberg and Anne Ayres,group,William Augustus Muhlenberg and Anne Ayres,date/source-form harmonization
04-08,3,UO-SIN-000953,Julie Billiart,person,Julie Billiart,
04-09,2,UO-SIN-000269,Dietrich Bonhoeffer and Maximilian Kolbe,group,Dietrich Bonhoeffer and Maximilian Kolbe,reused existing SIN; date/source-form harmonization
04-09,3,UO-SIN-000954,Mary Cleophas,person,Mary Cleophas,
04-10,2,UO-SIN-000955,Macarius of Antioch,person,Macarius of Antioch,
04-10,3,UO-SIN-000956,Ezekiel,person,Ezekiel,
04-11,2,UO-SIN-000957,Stanislaus of Szczepanow,person,Stanislaus of Szczepanow,
04-11,3,UO-SIN-000958,Guthlac of Crowland,person,Guthlac of Crowland,
04-12,2,UO-SIN-000959,Julius I,person,Julius I,
04-12,3,UO-SIN-000960,Teresa of Los Andes,person,Teresa of Los Andes,
04-13,2,UO-SIN-000961,Hermenegild,person,Hermenegild,
04-13,3,UO-SIN-000962,Caradoc of Llancarfan,person,Caradoc of Llancarfan,
04-14,2,UO-SIN-000963,Edward Thomas Demby and Henry Beard Delany,group,Edward Thomas Demby and Henry Beard Delany,
04-14,3,UO-SIN-000964,"Tiburtius, Valerian, and Maximus",group,"Tiburtius, Valerian, and Maximus",
04-15,2,UO-SIN-000965,Damien of Molokai,person,Damien of Molokai,date/source-form harmonization
04-15,3,UO-SIN-000966,Paternus of Avranches,person,Paternus of Avranches,
04-16,2,UO-SIN-000967,Bernadette Soubirous,person,Bernadette Soubirous,
04-16,3,UO-SIN-000968,Magnus of Orkney,person,Magnus of Orkney,
04-17,2,UO-SIN-000969,Stephen Harding,person,Stephen Harding,
04-17,3,UO-SIN-000970,Innocent of Tortona,person,Innocent of Tortona,
04-18,2,UO-SIN-000971,Apollonius the Apologist,person,Apollonius the Apologist,
04-18,3,UO-SIN-000972,Laserian of Leighlin,person,Laserian of Leighlin,
04-19,2,UO-SIN-000973,Expeditus,person,Expeditus,
04-19,3,UO-SIN-000974,Emma of Saxony,person,Emma of Saxony,
04-20,2,UO-SIN-000975,Agnes of Montepulciano,person,Agnes of Montepulciano,
04-20,3,UO-SIN-000976,Marcellinus of Embrun,person,Marcellinus of Embrun,
04-21,2,UO-SIN-000977,Beuno,person,Beuno,
04-21,3,UO-SIN-000978,Conrad of Parzham,person,Conrad of Parzham,
04-22,2,UO-SIN-000979,Soter and Caius,group,Soter and Caius,
04-22,3,UO-SIN-000980,Opportuna of Montreuil,person,Opportuna of Montreuil,
04-23,2,UO-SIN-000734,George of Lydda,person,George of Lydda,reused existing SIN; date/source-form harmonization
04-23,3,UO-SIN-000981,Adalbert of Prague,person,Adalbert of Prague,
04-24,2,UO-SIN-000982,Genocide Remembrance,observance,Genocide Remembrance,excluded from primary consideration but controlled as row identity
04-24,3,UO-SIN-000983,Fidelis of Sigmaringen,person,Fidelis of Sigmaringen,
04-25,2,UO-SIN-000984,Anianus of Alexandria,person,Anianus of Alexandria,
04-25,3,UO-SIN-000985,Ermin of Lobbes,person,Ermin of Lobbes,
04-26,2,UO-SIN-000986,Albert Ernest Laurie,person,Albert Ernest Laurie,
04-26,3,UO-SIN-000987,Cletus / Anacletus,person,Cletus / Anacletus,
04-27,2,UO-SIN-000563,Christina Rossetti,person,Christina Rossetti,reused existing SIN; date/source-form harmonization
04-27,3,UO-SIN-000988,Tertullian of Bologna,person,Tertullian of Bologna,
04-28,2,UO-SIN-000989,Louis-Marie Grignion de Montfort,person,Louis-Marie Grignion de Montfort,
04-28,3,UO-SIN-000990,Gianna Beretta Molla,person,Gianna Beretta Molla,
04-29,2,UO-SIN-000991,Hugh of Cluny,person,Hugh of Cluny,
04-29,3,UO-SIN-000992,Robert of Molesme,person,Robert of Molesme,
04-30,2,UO-SIN-000993,Pius V,person,Pius V,
04-30,3,UO-SIN-000994,Erkenwald of London,person,Erkenwald of London,
