date,rank,sin,normalized_name,entity_type,source_candidate_name,identity_note
07-01,2,UO-SIN-000182,Serf,person,Serf,
07-01,3,UO-SIN-000183,Harriet Beecher Stowe,person,Harriet Beecher Stowe,
07-01,4,UO-SIN-000184,John Venn and Henry Venn,group,John Venn and Henry Venn,group source form
07-02,2,UO-SIN-000185,Swithin of Winchester,person,Swithin,
07-02,3,UO-SIN-000186,"Walter Rauschenbusch, Washington Gladden, and Jacob Riis",group,"Walter Rauschenbusch, Washington Gladden, and Jacob Riis",group source form
07-02,4,UO-SIN-000187,Otto of Bamberg,person,Otto of Bamberg,
07-04,2,UO-SIN-000188,Elizabeth of Portugal,person,Elizabeth of Portugal,
07-04,3,UO-SIN-000189,Peblig,person,Peblig,
07-05,2,UO-SIN-000190,Athanasius of Jerusalem,person,Athanasius of Jerusalem,
07-06,2,UO-SIN-000191,Moninne of Killeavy,person,Moninne of Killeavy,
07-06,3,UO-SIN-000192,John Hus,person,John Hus,also appears 10-30
07-06,4,UO-SIN-000193,Thomas More,person,Thomas More,
07-07,2,UO-SIN-000194,Pantaenus of Alexandria,person,Pantaenus of Alexandria,
07-07,3,UO-SIN-000195,Benedict XI,person,Benedict XI,
07-08,2,UO-SIN-000196,Disibod,person,Disibod,
07-08,3,UO-SIN-000197,Kilian,person,Kilian,
07-10,2,UO-SIN-000198,Amalburga,person,Amalburga,
07-11,2,UO-SIN-000199,Pius I,person,Pius I,
07-11,3,UO-SIN-000200,Placidus and Sigisbert,group,Placidus and Sigisbert,group source form
07-12,2,UO-SIN-000201,Nathan Söderblom,person,Nathan Söderblom,
07-12,3,UO-SIN-000202,John Gualbert,person,John Gualbert,
07-12,4,UO-SIN-000203,Veronica,person,Veronica,
07-13,2,UO-SIN-000204,Conrad Weiser,person,Conrad Weiser,
07-13,3,UO-SIN-000205,Silas / Silvanus,person,Silas / Silvanus,also appears as Silas 07-30
07-13,4,UO-SIN-000206,Henry II and Kunegunda,group,Henry II and Kunegunda,group source form
07-14,2,UO-SIN-000207,Samson Occom,person,Samson Occom,
07-14,3,UO-SIN-000208,Kateri Tekakwitha,person,Kateri Tekakwitha,
07-14,4,UO-SIN-000209,Oxford Movement / John Keble Assize Sermon anniversary,event,Oxford Movement / John Keble Assize Sermon anniversary,ecclesial event
07-15,2,UO-SIN-000185,Swithin of Winchester,person,Swithin translation,translation-date variant
07-15,3,UO-SIN-000210,Vladimir of Kyiv,person,Vladimir of Kyiv,
07-16,2,UO-SIN-000211,Our Lady of Mount Carmel / Our Lady of the Hermits,feast,Our Lady of Mount Carmel / Our Lady of the Hermits,Marian feast
07-16,3,UO-SIN-000212,The Righteous Gentiles,group,The Righteous Gentiles,non-Christian group memorial
07-16,4,UO-SIN-000213,Fulrad,person,Fulrad,
07-17,2,UO-SIN-000214,Jane Haining,person,Jane Haining,
07-17,3,UO-SIN-000215,Marcellina,person,Marcellina,
07-17,4,UO-SIN-000216,Leo IV,person,Leo IV,
