date,rank,sin,normalized_name,entity_type,source_candidate_name,identity_note
03-01,2,UO-SIN-000889,Swithbert,person,Swithbert,
03-01,3,UO-SIN-000890,Albinus of Angers,person,Albinus of Angers,
03-02,2,UO-SIN-000891,Ceadda / Chad,group,Ceadda / Chad source variants,normalized from Ceadda / Chad source variants; date/source-form harmonization
03-02,3,UO-SIN-000892,Agnes of Bohemia,person,Agnes of Bohemia,
03-03,2,UO-SIN-000594,Charles Wesley,person,Charles Wesley,reused existing SIN; date/source-form harmonization
03-03,3,UO-SIN-000893,Katharine Drexel,person,Katharine Drexel,
03-04,2,UO-SIN-000894,Paul Cuffee,person,Paul Cuffee,
03-04,3,UO-SIN-000895,Casimir of Poland,person,Casimir of Poland,
03-05,2,UO-SIN-000896,Non of Wales,person,Non of Wales,
03-05,3,UO-SIN-000897,Ciaran of Seirkeiran,person,Ciaran of Seirkeiran,
03-06,2,UO-SIN-000898,"William W. Mayo, Charles Menninger and Their Sons",group,"William W. Mayo, Charles Menninger and Their Sons",
03-06,3,UO-SIN-000899,Colette of Corbie,person,Colette of Corbie,
03-07,2,UO-SIN-000643,Thomas Aquinas,person,Thomas Aquinas source/date variant,reused existing SIN; date/source-form harmonization
03-07,3,UO-SIN-000900,Paul the Simple,person,Paul the Simple,
03-08,2,UO-SIN-000901,Geoffrey Anketell Studdert Kennedy,person,Geoffrey Anketell Studdert Kennedy,
03-08,3,UO-SIN-000902,Duthac of Tain,person,Duthac of Tain,
03-09,2,UO-SIN-000903,Frances of Rome,person,Frances of Rome,
03-09,3,UO-SIN-000904,Catherine of Bologna,person,Catherine of Bologna,
03-10,2,UO-SIN-000905,Macarius of Jerusalem,person,Macarius of Jerusalem,
03-10,3,UO-SIN-000906,John Ogilvie,person,John Ogilvie,
03-11,2,UO-SIN-000907,Eulogius of Cordoba,person,Eulogius of Cordoba,
03-12,2,UO-SIN-000908,Theophanes the Confessor,person,Theophanes the Confessor,
03-13,2,UO-SIN-000909,Roderick / Ruderic of Cordoba,person,Roderick / Ruderic of Cordoba,
03-14,2,UO-SIN-000910,Chiara Lubich,person,Chiara Lubich,
03-14,3,UO-SIN-000911,Benedictine Martyrs of the Tyburn tradition,group,Benedictine Martyrs of the Tyburn tradition,
03-15,2,UO-SIN-000912,Louise de Marillac,person,Louise de Marillac,date/source-form harmonization
03-15,3,UO-SIN-000913,Clement Mary Hofbauer,person,Clement Mary Hofbauer,
03-16,2,UO-SIN-000914,Jean de Brébeuf and Gabriel Lalemant,group,Jean de Brébeuf and Gabriel Lalemant,
03-16,3,UO-SIN-000915,Heribert of Cologne,person,Heribert of Cologne,
03-17,2,UO-SIN-000916,Gertrude of Nivelles,person,Gertrude of Nivelles,
03-18,2,UO-SIN-000917,Edward the Martyr,person,Edward the Martyr,
03-18,3,UO-SIN-000918,Salvator of Horta,person,Salvator of Horta,
03-19,2,UO-SIN-000919,Joseph of Nazareth,group,Joseph of Nazareth source forms,normalized from Joseph of Nazareth source forms; date/source-form harmonization
03-20,2,UO-SIN-000920,Herbert of Derwentwater,person,Herbert of Derwentwater,
03-20,3,UO-SIN-000921,Wulfram of Sens,person,Wulfram of Sens,
03-21,2,UO-SIN-000011,Benedict of Nursia,person,Benedict of Nursia source/date variant,reused existing SIN; date/source-form harmonization
03-21,3,UO-SIN-000922,Nicholas of Flue,person,Nicholas of Flue,
03-22,2,UO-SIN-000691,Thomas Ken,person,Thomas Ken source/date variant,reused existing SIN; date/source-form harmonization
03-22,3,UO-SIN-000923,Lea of Rome,person,Lea of Rome,
03-23,2,UO-SIN-000924,Turibius of Mogrovejo,person,Turibius of Mogrovejo,
03-24,2,UO-SIN-000925,Óscar Romero,person,Óscar Romero,date/source-form harmonization
03-24,3,UO-SIN-000926,Catherine of Sweden,person,Catherine of Sweden,
03-25,2,UO-SIN-000927,Dismas / the Penitent Thief,person,Dismas / the Penitent Thief,
03-26,2,UO-SIN-000928,Richard Allen,person,Richard Allen,
03-26,3,UO-SIN-000929,Ludger,person,Ludger,
03-27,2,UO-SIN-000930,Rupert of Salzburg,person,Rupert of Salzburg,
03-27,3,UO-SIN-000931,John of Egypt,person,John of Egypt,
03-28,2,UO-SIN-000932,Patrick Forbes and the Aberdeen Doctors,group,Patrick Forbes and the Aberdeen Doctors,
03-28,3,UO-SIN-000933,Gundelina of Niedermunster,person,Gundelina of Niedermunster,
03-29,2,UO-SIN-000934,Berthold of Mount Carmel,person,Berthold of Mount Carmel,
03-29,3,UO-SIN-000935,Armogastes and Companions,group,Armogastes and Companions,
03-30,2,UO-SIN-000936,Innocent of Alaska,person,Innocent of Alaska,
03-30,3,UO-SIN-000937,John Climacus,person,John Climacus,
03-31,2,UO-SIN-000938,Benjamin Tankersley,person,Benjamin Tankersley,
03-31,3,UO-SIN-000939,Guido of Pomposa,person,Guido of Pomposa,
